set,subset,vocab type,kun,on,meaning,kan
Nakama Two,Two,Kanji,な,メイ・ミョウ,"name",名
Nakama Two,Two,Kanji,そら,クウ,sky,空
Nakama Two,Two,Kanji,みなと,コウ,port,港
Nakama Two,Two,Kanji,もり,シン,forest,森
Nakama Two,Two,Kanji,はやし,リン,woods,林
Nakama Two,Two,Kanji,,,Kanji for Repetition,々
Nakama Two,Two,Kanji Words,,,うみ,海
Nakama Two,Two,Kanji Words,,,かいがい,海外
Nakama Two,Two,Kanji Words,,,そと,外
Nakama Two,Two,Kanji Words,,,がいこく,外国
Nakama Two,Two,Kanji Words,,,くに,国
Nakama Two,Two,Kanji Words,,,ちゅうごく,中国
Nakama Two,Two,Kanji Words,,,りょかん,旅館
Nakama Two,Two,Kanji Words,,,りょこう,旅行
Nakama Two,Two,Kanji Words,,,よてい,予定
Nakama Two,Two,Kanji Words,,,よやく,予約
Nakama Two,Two,Kanji Words,,,けいかく,計画
Nakama Two,Two,Kanji Words,,,はかる,計る
Nakama Two,Two,Kanji Words,,,とけい,時計
Nakama Two,Two,Kanji Words,,,にもつ,荷物
Nakama Two,Two,Kanji Words,,,たべもの,食べ物
Nakama Two,Two,Kanji Words,,,のみもの,飲み物
Nakama Two,Two,Kanji Words,,,かいもの,買い物
Nakama Two,Two,Kanji Words,,,がくせいかいかん,学生会館
Nakama Two,Two,Kanji Words,,,こたえる,答える
Nakama Two,Two,Kanji Words,,,しる,知る
Nakama Two,Two,Kanji Words,,,とまる,泊まる
Nakama Two,Two,Kanji Words,,,にはく,二泊
Nakama Two,Two,Kanji Words,,,のる,乗る
Nakama Two,Two,Kanji Words,,,つく,着く
Nakama Two,Two,Kanji Words,,,きる,着る
Nakama Two,Two,Kanji Words,,,きもの,着物
Nakama Two,Two,Kanji Words,,,なまえ,名前
Nakama Two,Two,Kanji Words,,,くうこう,空港
Nakama Two,Two,Kanji Words,,,いろいろ,色々
Nakama Two,Two,Kanji Words,,,ときどき,時々
Nakama Two,Three,Kanji,い（う）・こと,ゲン・ゴン,"to say, to speak",言
Nakama Two,Three,Kanji,は,ヨウ,leaf,葉
Nakama Two,Three,Kanji,,カン,chinese,漢
Nakama Two,Three,Kanji,,ジ,letter,字
Nakama Two,Three,Kanji,,シツ・シチ・チ,"quality, matter",質
Nakama Two,Three,Kanji,と（う）・と（い）,モン,question,問
Nakama Two,Three,Kanji,,ソツ,to graduate,卒
Nakama Two,Three,Kanji,わざ,ギョウ・ゴウ,"work, industry",業
Nakama Two,Three,Kanji,さず（ける）,ジュ,"to confer, to give",授
Nakama Two,Three,Kanji,つか（える）,シ・ジ,"to serve, to do",仕
Nakama Two,Three,Kanji,こと,ジ,"abstract thing, affair",事
Nakama Two,Three,Kanji,むす（ぶ）,ケツ・ケッ,"to tie, to bind",結
Nakama Two,Three,Kanji,,コン,marriage,婚
Nakama Two,Three,Kanji,,シキ,"style, ceremony",式
Nakama Two,Three,Kanji,やしろ,シャ,"company, society",社
Nakama Two,Three,Kanji,おな（じ）,ドウ,same,同
Nakama Two,Three,Kanji,ちが（う）・ちが（い）,イ,"to differ, to violate",違
Nakama Two,Three,Kanji,と（める）・と（まる）,リュウ・ル,"to keep, to stay",留
Nakama Two,Three,Kanji,,タチ・ダチ,"to attain",達
Nakama Two,Three,Kanji,,デン,electric,電
Nakama Two,Three,Kanji,,エイ,"distinguished, england",英
Nakama Two,Three,Kanji,,キャク,guest,客
Nakama Two,Three,Kanji,のこ（る）・のこ（す）,ザン,"to be left, to leave",残
Nakama Two,Three,Kanji Words,,,ことば,言葉
Nakama Two,Three,Kanji Words,,,いう,言う
Nakama Two,Three,Kanji Words,,,かんじ,漢字
Nakama Two,Three,Kanji Words,,,しつもん,質問
Nakama Two,Three,Kanji Words,,,そつぎょう,卒業
Nakama Two,Three,Kanji Words,,,じゅぎょう,授業
Nakama Two,Three,Kanji Words,,,しごと,仕事
Nakama Two,Three,Kanji Words,,,しょくじ,食事
Nakama Two,Three,Kanji Words,,,だいじ,大事
Nakama Two,Three,Kanji Words,,,そつぎょうしき,卒業式
Nakama Two,Three,Kanji Words,,,けっこんする,結婚する
Nakama Two,Three,Kanji Words,,,けっこんしき,結婚式
Nakama Two,Three,Kanji Words,,,かいしゃ,会社
Nakama Two,Three,Kanji Words,,,おなじ,同じ
Nakama Two,Three,Kanji Words,,,ちがう,違う
Nakama Two,Three,Kanji Words,,,りゅうがくせい,留学生
Nakama Two,Three,Kanji Words,,,ともだち,友達
Nakama Two,Three,Kanji Words,,,でんき,電気
Nakama Two,Three,Kanji Words,,,でんわ,電話
Nakama Two,Three,Kanji Words,,,えいご,英語
Nakama Two,Three,Kanji Words,,,きゃく,客
Nakama Two,Three,Kanji Words,,,のこる,残る
Nakama Two,Three,Kanji Words,,,のこす,残す
Nakama Two,Three,Kanji Words,,,まちがう,間違う
Nakama Two,Four,Kanji,,ユウ,mail,郵
Nakama Two,Four,Kanji,たよ（り）,ベン・ビン,"post, convenient",便
Nakama Two,Four,Kanji,,キョク,"bureau, limited part",局
Nakama Two,Four,Kanji,,ギン,silver,銀
Nakama Two,Four,Kanji,おく（る）,ソウ,to send,送
Nakama Two,Four,Kanji,かみ,シ,paper,紙
Nakama Two,Four,Kanji,す（む）,ジュウ,"to reside, to live",住
Nakama Two,Four,Kanji,ところ,ショ,place,所
Nakama Two,Four,Kanji,ひ（く）,イン,to pull,引
Nakama Two,Four,Kanji,ね（る）,レン,"to train, practice",練
Nakama Two,Four,Kanji,なら（う）,シュウ,"to learn, custom",習
Nakama Two,Four,Kanji,やど,シュク,"lodge, in",宿
Nakama Two,Four,Kanji,,ダイ,"totle, topic, problem",題
Nakama Two,Four,Kanji,こころ（みる）・ため（す）,シ,"to try",試
Nakama Two,Four,Kanji,,ケン,test,験
Nakama Two,Four,Kanji,う（ける）,ジュ,to receive,受
Nakama Two,Four,Kanji,おし（える）,キョウ,to teach,教
Nakama Two,Four,Kanji,ふみ,ブン・モン,"sentence, letter, writing",文
Nakama Two,Four,Kanji,,ホウ,"law, method",法
Nakama Two,Four,Kanji,,イ,"mind, attention",意
Nakama Two,Four,Kanji,あじ,ミ,taste,味
Nakama Two,Four,Kanji,と（る）,シュ,to take,取
Nakama Two,Four,Kanji,もち（いる）,ヨウ,"business, to use",用
Nakama Two,Four,Kanji Words,,,ゆうびんきょく,郵便局
Nakama Two,Four,Kanji Words,,,ぎんこう,銀行
Nakama Two,Four,Kanji Words,,,おくる,送る
Nakama Two,Four,Kanji Words,,,てがみ,手紙
Nakama Two,Four,Kanji Words,,,ようし,用紙
Nakama Two,Four,Kanji Words,,,ようじ,用事
Nakama Two,Four,Kanji Words,,,すむ,住む
Nakama Two,Four,Kanji Words,,,ところ,所
Nakama Two,Four,Kanji Words,,,じゅうしょ,住所
Nakama Two,Four,Kanji Words,,,ひきだす,引き出す
Nakama Two,Four,Kanji Words,,,れんしゅう,練習
Nakama Two,Four,Kanji Words,,,うける,受ける
Nakama Two,Four,Kanji Words,,,しゅくだい,宿題
Nakama Two,Four,Kanji Words,,,にゅうがくしけん,入学試験
Nakama Two,Four,Kanji Words,,,おしえる,教える
Nakama Two,Four,Kanji Words,,,ぶんぽう,文法
Nakama Two,Four,Kanji Words,,,さくぶん,作文
Nakama Two,Four,Kanji Words,,,ぶんがく,文学
Nakama Two,Four,Kanji Words,,,いみ,意味
Nakama Two,Four,Kanji Words,,,はがき,葉書
Nakama Two,Four,Kanji Words,,,かいわ,会話
Nakama Two,Four,Kanji Words,,,きって,切手
Nakama Two,Five,Kanji,ば,ジョウ,place,場
Nakama Two,Five,Kanji,てら,ジ,temple,寺
Nakama Two,Five,Kanji,はし,キョウ,bridge,橋
Nakama Two,Five,Kanji,まち,チョウ,town,町
Nakama Two,Five,Kanji,うつ（る）・うつ（す）,エイ,"to reflect, to project",映
Nakama Two,Five,Kanji,おおやけ,コウ,"public, official",公
Nakama Two,Five,Kanji,その,エン,garden,園
Nakama Two,Five,Kanji,はか（る）,ズ・ト,"drawing, diagram, to plan",図
Nakama Two,Five,Kanji,,チ・ジ,"earth, land",地
Nakama Two,Five,Kanji,,テツ,iron,鉄
Nakama Two,Five,Kanji,,エキ,(train) station,駅
Nakama Two,Five,Kanji,そだ（てる）・そだ（つ）,イク,"to grow up, to raise",育
Nakama Two,Five,Kanji,みち,ドウ,"road, street, way",道
Nakama Two,Five,Kanji,,ブ,"part, selection",部
Nakama Two,Five,Kanji,,ヤ・オク,"roof, house, shop",屋
Nakama Two,Five,Kanji,くるま,シャ,"vehicle, wheel",車
Nakama Two,Five,Kanji,みぎ,ウ,right,右
Nakama Two,Five,Kanji,ひだり,サ,left,左
Nakama Two,Five,Kanji,ちか（い）,キン,"near, close",近
Nakama Two,Five,Kanji,とお（い）,エン,"far, distant",遠
Nakama Two,Five,Kanji,とお（る）,ツウ,"to go along, to pass",通
Nakama Two,Five,Kanji,と（ぶ）,ヒ,to fly,飛
Nakama Two,Five,Kanji,,キョウ・ケイ,capital,京
Nakama Two,Five,Kanji Words,,,ばしょ,場所
Nakama Two,Five,Kanji Words,,,てら,寺
Nakama Two,Five,Kanji Words,,,はし,橋
Nakama Two,Five,Kanji Words,,,まち,町
Nakama Two,Five,Kanji Words,,,えいが,映画
Nakama Two,Five,Kanji Words,,,えいがかん,映画館
Nakama Two,Five,Kanji Words,,,こうえん,公園
Nakama Two,Five,Kanji Words,,,としょかん,図書館
Nakama Two,Five,Kanji Words,,,ちず,地図
Nakama Two,Five,Kanji Words,,,ちか,地下
Nakama Two,Five,Kanji Words,,,ちかてつ,地下鉄
Nakama Two,Five,Kanji Words,,,えき,駅
Nakama Two,Five,Kanji Words,,,たいいくかん,体育館
Nakama Two,Five,Kanji Words,,,へや,部屋
Nakama Two,Five,Kanji Words,,,ほんや,本屋
Nakama Two,Five,Kanji Words,,,くるま,車
Nakama Two,Five,Kanji Words,,,でんしゃ,電車
Nakama Two,Five,Kanji Words,,,みぎて,右手
Nakama Two,Five,Kanji Words,,,ひだりあし,左足
Nakama Two,Five,Kanji Words,,,ちかい,近い
Nakama Two,Five,Kanji Words,,,とおい,遠い
Nakama Two,Five,Kanji Words,,,とおる,通る
Nakama Two,Five,Kanji Words,,,とうきょう,東京
Nakama Two,Six,Kanji,いぬ,ケン,dog,犬
Nakama Two,Six,Kanji,はな,カ,flower,花
Nakama Two,Six,Kanji,かたち,ケイ・ギョウ,"shape, form",形
Nakama Two,Six,Kanji,,フク,"clothes, dress",服
Nakama Two,Six,Kanji,や（める）,ジ,"word, to resign",辞
Nakama Two,Six,Kanji,,レイ,courtesy,礼
Nakama Two,Six,Kanji,いわ（う）,シュク,"to celebrate, congratulate",祝
Nakama Two,Six,Kanji,,タン,birth,誕
Nakama Two,Six,Kanji,みずか（ら）,ジ・シ,self,自
Nakama Two,Six,Kanji,ころ（がる）・ころ（ぶ）,テン,"to roll over, to fall down",転
Nakama Two,Six,Kanji,はこ（ぶ）,ウン,"to carry, luck",運
Nakama Two,Six,Kanji,うご（く）,ドウ,to move,動
Nakama Two,Six,Kanji,つか（う）,シ,to use,使
Nakama Two,Six,Kanji,うつ（す）,シャ,"to photograph, to copy",写
Nakama Two,Six,Kanji,ま,シン,"truth, exactly",真
Nakama Two,Six,Kanji,,エ・カイ,picture,絵
Nakama Two,Six,Kanji,,ザツ,miscellany,雑
Nakama Two,Six,Kanji,,シ,"chronicle, magazine",誌
Nakama Two,Six,Kanji,おと,オン,sound,音
Nakama Two,Six,Kanji,たの（しむ）,ガク・ラク,"music, to enjoy",楽
Nakama Two,Six,Kanji,,セ・セイ,"world, reign, age",世
Nakama Two,Six,Kanji,いし,セキ,stone,石
Nakama Two,Six,Kanji,,セツ,"theory, explanation",説
Nakama Two,Six,Kanji Words,,,いぬ,犬
Nakama Two,Six,Kanji Words,,,こいぬ,子犬
Nakama Two,Six,Kanji Words,,,はな,花
Nakama Two,Six,Kanji Words,,,にんぎょう,人形
Nakama Two,Six,Kanji Words,,,じしょ,辞書
Nakama Two,Six,Kanji Words,,,おれい,お礼
Nakama Two,Six,Kanji Words,,,おいわい,お祝い
Nakama Two,Six,Kanji Words,,,たんじょうび,誕生日
Nakama Two,Six,Kanji Words,,,じてんしゃ,自転車
Nakama Two,Six,Kanji Words,,,じぶん,自分
Nakama Two,Six,Kanji Words,,,うんどう,運動
Nakama Two,Six,Kanji Words,,,うんてん,運転
Nakama Two,Six,Kanji Words,,,どうぶつえん,動物園
Nakama Two,Six,Kanji Words,,,どうぶつ,動物
Nakama Two,Six,Kanji Words,,,うごく,動く
Nakama Two,Six,Kanji Words,,,つかう,使う
Nakama Two,Six,Kanji Words,,,たいしかん,大使館
Nakama Two,Six,Kanji Words,,,たいし,大使
Nakama Two,Six,Kanji Words,,,しゃしん,写真
Nakama Two,Six,Kanji Words,,,え,絵
Nakama Two,Six,Kanji Words,,,ざっし,雑誌
Nakama Two,Six,Kanji Words,,,おんがく,音楽
Nakama Two,Six,Kanji Words,,,たのしい,楽しい
Nakama Two,Six,Kanji Words,,,せわ,世話
Nakama Two,Six,Kanji Words,,,しょうせつ,小説
Nakama Two,Six,Kanji Words,,,せつめいする,説明する
Nakama Two,Seven,Kanji,,リョウ,"material, ingredient",料
Nakama Two,Seven,Kanji,,リ,"logic",理
Nakama Two,Seven,Kanji,めし,ハン,"cooked rice, meal",飯
Nakama Two,Seven,Kanji,の,ヤ,"field",野
Nakama Two,Seven,Kanji,,サイ,vegetable,菜
Nakama Two,Seven,Kanji,くだ,カ,"fruit, result",果
Nakama Two,Seven,Kanji,さかな,ギョ,fish,魚
Nakama Two,Seven,Kanji,とり,チョウ,bird,鳥
Nakama Two,Seven,Kanji,,ニク,meat,肉
Nakama Two,Seven,Kanji,あぶら,ユ,oil,油
Nakama Two,Seven,Kanji,と（まる）・や（める,シ,to stop,止
Nakama Two,Seven,Kanji,はじ（める）・はじ（まる）,シ,"to begin, to start",始
Nakama Two,Seven,Kanji,お（わる）・お（える）,シュウ,"to end, to finish",終
Nakama Two,Seven,Kanji,あら（う）,セン,to wash,洗
Nakama Two,Seven,Kanji,わる（い）,アク,bad,悪
Nakama Two,Seven,Kanji,くろ（い）,コク,black,黒
Nakama Two,Seven,Kanji,しろ（い）,ハク,white,白
Nakama Two,Seven,Kanji,あお（い）,セイ,blue,青
Nakama Two,Seven,Kanji,あか（い）,セキ,red,赤
Nakama Two,Seven,Kanji,,チャ・サ,"brown, tea",茶
Nakama Two,Seven,Kanji,みじか（い）,タン,short,短
Nakama Two,Seven,Kanji,なが（い）,チョウ,long,長
Nakama Two,Seven,Kanji,や（く）・や（ける）,ショウ,"to burn, to bake",焼
Nakama Two,Seven,Kanji Words,,,Cooking,料理
Nakama Two,Seven,Kanji Words,,,Tuition Fee,授業料
Nakama Two,Seven,Kanji Words,,,Vegetables,野菜
Nakama Two,Seven,Kanji Words,,,Fish,魚
Nakama Two,Seven,Kanji Words,,,Fish cuisine,魚料理
Nakama Two,Seven,Kanji Words,,,Meat cuisine,肉料理
Nakama Two,Seven,Kanji Words,,,Chicken (meat),鳥肉
Nakama Two,Seven,Kanji Words,,,To stop,止める
Nakama Two,Seven,Kanji Words,,,To begin,始める
Nakama Two,Seven,Kanji Words,,,To end,終わる
Nakama Two,Seven,Kanji Words,,,To wash,洗う
Nakama Two,Seven,Kanji Words,,,Bad,悪い
Nakama Two,Seven,Kanji Words,,,Black,黒い
Nakama Two,Seven,Kanji Words,,,White,白い
Nakama Two,Seven,Kanji Words,,,red,赤い
Nakama Two,Seven,Kanji Words,,,Brown,茶色い
Nakama Two,Seven,Kanji Words,,,Green tea,お茶
Nakama Two,Seven,Kanji Words,,,Short,短い
Nakama Two,Seven,Kanji Words,,,Long,長い
Nakama Two,Seven,Kanji Words,,,(Company) president,社長
Nakama Two,Seven,Kanji Words,,,To Cook,焼く
Nakama Two,Seven,Kanji Words,,,Fruit,果物
Nakama Two,Seven,Kanji Words,,,Oil,油
Nakama Two,Seven,Kanji Words,,,Physics,物理学
Nakama Two,Eight,Kanji,こころ,シン,"mind, heart",心
Nakama Two,Eight,Kanji,くば（る）,ハイ・パイ,to deliver,配
Nakama Two,Eight,Kanji,こま（る）,コン,to be in trouble,困
Nakama Two,Eight,Kanji,むずか（しい）,ナン,difficult,難
Nakama Two,Eight,Kanji,よわ（い）,ジャク,weak,弱
Nakama Two,Eight,Kanji,まね（く）,ショウ,to invite,招
Nakama Two,Eight,Kanji,ま（つ）,タイ,to wait,待
Nakama Two,Eight,Kanji,よ（ぶ）,コ,to call,呼
Nakama Two,Eight,Kanji,あそ（ぶ）,ユウ,"to play, idle",遊
Nakama Two,Eight,Kanji,およ（ぐ）,エイ,to swim,泳
Nakama Two,Eight,Kanji,たて（る）・た（つ）,ケン・コン,to build,建
Nakama Two,Eight,Kanji,,ケイ・キョウ,passage of time,経
Nakama Two,Eight,Kanji,う（る）,バイ,to sell,売
Nakama Two,Eight,Kanji,まじ（わる）,コウ,"to intersect, to mix",交
Nakama Two,Eight,Kanji,お（ちる）・お（とす）,ラク,"to fall, to drop",落
Nakama Two,Eight,Kanji,くら（い）,アン,dark,暗
Nakama Two,Eight,Kanji,,コウ,flood,洪
Nakama Two,Eight,Kanji,,リ,advantage,利
Nakama Two,Eight,Kanji,まった（く）,ゼン,"whole, entirely",全
Nakama Two,Eight,Kanji,いそ（ぐ）,キュウ,"sudden, steep, hurry",急
Nakama Two,Eight,Kanji,,コ,"deceased, old",故
Nakama Two,Eight,Kanji,,ダイ・タイ,"pedestral, platform, counter for machines",台
Nakama Two,Eight,Kanji,,フ,"not, un-(prefix)",不
Nakama Two,Eight,Kanji Words,,,To swim,泳ぐ
Nakama Two,Eight,Kanji Words,,,To sell,売る
Nakama Two,Eight,Kanji Words,,,Sales floor,売り場
Nakama Two,Eight,Kanji Words,,,To fall,落ちる
Nakama Two,Eight,Kanji Words,,,To drop,落とす
Nakama Two,Eight,Kanji Words,,,To wait,待つ
Nakama Two,Eight,Kanji Words,,,To play,遊ぶ
Nakama Two,Eight,Kanji Words,,,Amusement park,遊園地
Nakama Two,Eight,Kanji Words,,,To call out,呼ぶ
Nakama Two,Eight,Kanji Words,,,To invite,招待する
Nakama Two,Eight,Kanji Words,,,Dark,暗い
Nakama Two,Eight,Kanji Words,,,Anxious,心配
Nakama Two,Eight,Kanji Words,,,To be in trouble,困る
Nakama Two,Eight,Kanji Words,,,Experience,経験
Nakama Two,Eight,Kanji Words,,,Accident,事故
Nakama Two,Eight,Kanji Words,,,Traffic Accident,交通事故
Nakama Two,Eight,Kanji Words,,,Flood,洪水
Nakama Two,Eight,Kanji Words,,,Convenient,便利
Nakama Two,Eight,Kanji Words,,,Inconvenient,不便
Nakama Two,Eight,Kanji Words,,,Difficult,難しい
Nakama Two,Eight,Kanji Words,,,Weak,弱い
Nakama Two,Eight,Kanji Words,,,Safe,安全
Nakama Two,Eight,Kanji Words,,,A sense of relief,安心
Nakama Two,Eight,Kanji Words,,,Sudden,急な
Nakama Two,Eight,Kanji Words,,,Express train,急行
Nakama Two,Eight,Kanji Words,,,Building,建物
Nakama Two,Eight,Kanji Words,,,Taiphoon,台風
Nakama Two,Eight,Kanji Words,,,"Whole, all",全部
Nakama Two,Nine,Kanji,わら（う）,ショウ,to laugh,笑
Nakama Two,Nine,Kanji,な（く）,キュウ,to cry,泣
Nakama Two,Nine,Kanji,たす（かる）・たす（ける）,ジョ,"to help, assist",助
Nakama Two,Nine,Kanji,かんが（える）,コウ,to think,考
Nakama Two,Nine,Kanji,はら（う）,フツ,to pay,払
Nakama Two,Nine,Kanji,ば（ける）,カ,to turn (oneself) into,化
Nakama Two,Nine,Kanji,しら（べる）,チョウ,"to check, investigate",調
Nakama Two,Nine,Kanji,あつ（める）・あつ（まる）,シュウ,"to collect, to gather",集
Nakama Two,Nine,Kanji,まと,テキ,"having attribute of, target",的
Nakama Two,Nine,Kanji,,シツ,"to lose, to miss",失
Nakama Two,Nine,Kanji,あ（たる）,トウ,"hit, target",当
Nakama Two,Nine,Kanji,,キ,"period, term, time",期
Nakama Two,Nine,Kanji,,ワ,"Japanese, peace",和
Nakama Two,Nine,Kanji,おも（い）,ジュウ,"heavy, weight",重
Nakama Two,Nine,Kanji,,カイ,world,界
Nakama Two,Nine,Kanji,ただ（しい）,セイ・ショウ,"correct, right",正
Nakama Two,Nine,Kanji,,ユウ,"reason, significance",由
Nakama Two,Nine,Kanji,,シュウ・ソウ,"religion, sect",宗
Nakama Two,Nine,Kanji,おさ（める）・なお（す）,ジ・チ,"government, healing",治
Nakama Two,Nine,Kanji,つぎ,ジ,next,次
Nakama Two,Nine,Kanji,あ（る）,ユウ,"to exist, to have",有
Nakama Two,Nine,Kanji,もっと（も）,サイ,most,最
Nakama Two,Nine,Kanji,おこす,キョウ・コウ,interest,興
Nakama Two,Nine,Kanji Words,,,ぶんか,文化
Nakama Two,Nine,Kanji Words,,,なおす,治す
Nakama Two,Nine,Kanji Words,,,しらべる,調べる
Nakama Two,Nine,Kanji Words,,,あつめる,集める
Nakama Two,Nine,Kanji Words,,,あつまる,集まる
Nakama Two,Nine,Kanji Words,,,にほんてき,日本的
Nakama Two,Nine,Kanji Words,,,しつれい,失礼
Nakama Two,Nine,Kanji Words,,,ほんとう,本当
Nakama Two,Nine,Kanji Words,,,がっき,学期
Nakama Two,Nine,Kanji Words,,,きまつ,期末
Nakama Two,Nine,Kanji Words,,,わしょく,和食
Nakama Two,Nine,Kanji Words,,,おもい,重い
Nakama Two,Nine,Kanji Words,,,せかい,世界
Nakama Two,Nine,Kanji Words,,,ただしい,正しい
Nakama Two,Nine,Kanji Words,,,しょうがつ,正月
Nakama Two,Nine,Kanji Words,,,りゆう,理由
Nakama Two,Nine,Kanji Words,,,じゆう,自由
Nakama Two,Nine,Kanji Words,,,しゅうきょう,宗教
Nakama Two,Nine,Kanji Words,,,さいきん,最近
Nakama Two,Nine,Kanji Words,,,なく,泣く
Nakama Two,Nine,Kanji Words,,,わらう,笑う
Nakama Two,Nine,Kanji Words,,,たすける,助ける
Nakama Two,Nine,Kanji Words,,,かんがえる,考える
Nakama Two,Nine,Kanji Words,,,はらう,払う
Nakama Two,Nine,Kanji Words,,,ゆうめい（な）,有名（な）
Nakama Two,Nine,Kanji Words,,,ありがとう,有り難う
Nakama Two,Nine,Kanji Words,,,きょうみ,興味
Nakama Two,Ten,Kanji,あい,ソウ,"each other, mutual",相
Nakama Two,Ten,Kanji,,ダン,to talk,談
Nakama Two,Ten,Kanji,か（す）,たイ,to lend,貸
Nakama Two,Ten,Kanji,か（りる）,シャク,to borrow,借
Nakama Two,Ten,Kanji,かえ（す）,ヘン,to return something,返
Nakama Two,Ten,Kanji,ひら（く）・あ（く）・あ（ける）,カイ,to open,開
Nakama Two,Ten,Kanji,し（める）・し（まる）,ヘイ,to close,閉
Nakama Two,Ten,Kanji,つた（える）,デン,"to report, to transmit",伝
Nakama Two,Ten,Kanji,おぼ（える）・さ（める）,カク,"to remember, awake",覚
Nakama Two,Ten,Kanji,うた（う）,カ,"to sing, song",歌
Nakama Two,Ten,Kanji,こえ,セイ,voice,声
Nakama Two,Ten,Kanji,しず（か）,セイ,"quiet, calm",静
Nakama Two,Ten,Kanji,よる,ヤ,"night, evening",夜
Nakama Two,Ten,Kanji,なお（す）,チョク・ジキ,"to mend, to correct",直
Nakama Two,Ten,Kanji,お（く）,チ,"to put, to place",置
Nakama Two,Ten,Kanji,,キ,chronicle,記
Nakama Two,Ten,Kanji,そそ（ぐ）,チュウ,to pour,注
Nakama Two,Ten,Kanji,,ク,phrase,句
Nakama Two,Ten,Kanji,あ（う）,ゴウ,to fit,合
Nakama Two,Ten,Kanji,いそが（しい）,ボウ,busy,忙
Nakama Two,Ten,Kanji,,ゼン・ネン,"so, yes",然
Nakama Two,Ten,Kanji,,ゴウ,number,号
Nakama Two,Ten,Kanji,むら,ソン,village,村
Nakama Two,Ten,Kanji Words,,,ぜんぜん,全然
Nakama Two,Ten,Kanji Words,,,ちゅうい,注意
Nakama Two,Ten,Kanji Words,,,ちゅうもんする,注文する
Nakama Two,Ten,Kanji Words,,,しりあい,知り合い
Nakama Two,Ten,Kanji Words,,,つごうがわるい,都合が悪い
Nakama Two,Ten,Kanji Words,,,おぼえる,覚える
Nakama Two,Ten,Kanji Words,,,うた,歌
Nakama Two,Ten,Kanji Words,,,うたう,歌う
Nakama Two,Ten,Kanji Words,,,もんく,文句
Nakama Two,Ten,Kanji Words,,,ばんごう,番号
Nakama Two,Ten,Kanji Words,,,なおる,直る
Nakama Two,Ten,Kanji Words,,,なおす,直す
Nakama Two,Ten,Kanji Words,,,しょうじき,正直
Nakama Two,Ten,Kanji Words,,,かす,貸す
Nakama Two,Ten,Kanji Words,,,かりる,借りる
Nakama Two,Ten,Kanji Words,,,かえす,返す
Nakama Two,Ten,Kanji Words,,,おく,置く
Nakama Two,Ten,Kanji Words,,,こえ,声
Nakama Two,Ten,Kanji Words,,,あく,開く
Nakama Two,Ten,Kanji Words,,,あける,開ける
Nakama Two,Ten,Kanji Words,,,しめる,閉める
Nakama Two,Ten,Kanji Words,,,しまる,閉まる
Nakama Two,Ten,Kanji Words,,,てつだう,手伝う
Nakama Two,Ten,Kanji Words,,,にっきをつける,日記をつける
Nakama Two,Ten,Kanji Words,,,あいて,相手
Nakama Two,Ten,Kanji Words,,,そうだん,相談
Nakama Two,Ten,Kanji Words,,,よる,夜
Nakama Two,Ten,Kanji Words,,,よなか,夜中
Nakama Two,Ten,Kanji Words,,,しずか,静か
Genki Two,Thirteen,Kanji,もの,ブツ・ブッ,thing,物
Genki Two,Thirteen,Kanji,とり,チョウ,bird,鳥
Genki Two,Thirteen,Kanji,りょう,,ingredients; fare,料
Genki Two,Thirteen,Kanji,り,,reason,理
Genki Two,Thirteen,Kanji,とく・とっ,,special,特
Genki Two,Thirteen,Kanji,やす,アン,cheap; ease,安
Genki Two,Thirteen,Kanji,はん,,food; cooked rice,飯
Genki Two,Thirteen,Kanji,にく,,meat,肉
Genki Two,Thirteen,Kanji,わる,アク,bad; wrong,悪
Genki Two,Thirteen,Kanji,からだ,タイ,body,体
Genki Two,Thirteen,Kanji,おな,ドウ,same,同
Genki Two,Thirteen,Kanji,つ・き・ぎ,チャク,to reach; to wear,着
Genki Two,Thirteen,Kanji,さら・あ・から,クウ,sky; empty,空
Genki Two,Thirteen,Kanji,みなと,コウ,port; harbor,港
Genki Two,Thirteen,Kanji,ひる,チュウ,noon; daytime,昼
Genki Two,Thirteen,Kanji,うみ,カイ,sea,海
Genki Two,Fourteen,Kanji,カレ・カノ,,he,彼
Genki Two,Fourteen,Kanji,か,ダイ,age; replace,代
Genki Two,Fourteen,Kanji,,リュウ・ル,to stay; to keep,留
Genki Two,Fourteen,Kanji,,ゾク,family; tribe,族
Genki Two,Fourteen,Kanji,おや・した,シン,parent; intimacy,親
Genki Two,Fourteen,Kanji,き・きっ,セツ,to cut,切
Genki Two,Fourteen,Kanji,,エイ,english; excellent,英
Genki Two,Fourteen,Kanji,みせ,テン,shop,店
Genki Two,Fourteen,Kanji,さ,キョ・コ,past; to leave,去
Genki Two,Fourteen,Kanji,いそ,キュウ,to hurry; emerency,急
Genki Two,Fourteen,Kanji,の,ジョウ,to ride,乗
Genki Two,Fourteen,Kanji,あ,トウ,to hit,当
Genki Two,Fourteen,Kanji,おと・ね,オン,sound,音
Genki Two,Fourteen,Kanji,たの,ガク・ガッ・ラク,pleasure,楽
Genki Two,Fourteen,Kanji,,イ,doctor; medicine,医
Genki Two,Fourteen,Kanji,もの,シャ・ジャ,person,者
Genki Two,Fifteen,Kanji,し,シ,death; to die,死
Genki Two,Fifteen,Kanji,,イ,mind; meaning,意
